sciNameID,relationshipOfAssociate,associateSciNameID
876f6d22b15d4396be2b760bf415c955,host plant of,17c201c8da1847929a10109237aab0f4
17c201c8da1847929a10109237aab0f4,herbivore of,876f6d22b15d4396be2b760bf415c955
876f6d22b15d4396be2b760bf415c955,host plant of,311cf11008e54e33a9259ed045b47b23
311cf11008e54e33a9259ed045b47b23,herbivore of,876f6d22b15d4396be2b760bf415c955
66bd6c0b2d4c4a5e98eed112a44bc291,host plant of,1e02c9c91085410092b1dcfa20c2be82
1e02c9c91085410092b1dcfa20c2be82,herbivore of,66bd6c0b2d4c4a5e98eed112a44bc291
66bd6c0b2d4c4a5e98eed112a44bc291,host plant of,e624b614b2aa46b391d01f58505b1b75
e624b614b2aa46b391d01f58505b1b75,herbivore of,66bd6c0b2d4c4a5e98eed112a44bc291
66bd6c0b2d4c4a5e98eed112a44bc291,host plant of,370f7791cf5c41429c230bd905792365
370f7791cf5c41429c230bd905792365,herbivore of,66bd6c0b2d4c4a5e98eed112a44bc291
66bd6c0b2d4c4a5e98eed112a44bc291,host plant of,9b5f09b6cdc54dc49900743d95a168cf
9b5f09b6cdc54dc49900743d95a168cf,herbivore of,66bd6c0b2d4c4a5e98eed112a44bc291
66bd6c0b2d4c4a5e98eed112a44bc291,host plant of,f505d36396524c81af039fae6e19cd45
f505d36396524c81af039fae6e19cd45,herbivore of,66bd6c0b2d4c4a5e98eed112a44bc291
66bd6c0b2d4c4a5e98eed112a44bc291,host plant of,880a117f68f041b59dd7fd19c3b3cb63
880a117f68f041b59dd7fd19c3b3cb63,herbivore of,66bd6c0b2d4c4a5e98eed112a44bc291
66bd6c0b2d4c4a5e98eed112a44bc291,host plant of,45781c22862548c1821c8faa424feb75
45781c22862548c1821c8faa424feb75,herbivore of,66bd6c0b2d4c4a5e98eed112a44bc291
66bd6c0b2d4c4a5e98eed112a44bc291,host plant of,997add7a3c7f40709c55d2853fd9e652
997add7a3c7f40709c55d2853fd9e652,herbivore of,66bd6c0b2d4c4a5e98eed112a44bc291
66bd6c0b2d4c4a5e98eed112a44bc291,host plant of,3f20c7b3d313457fa838eeb1e0213ae4
3f20c7b3d313457fa838eeb1e0213ae4,herbivore of,66bd6c0b2d4c4a5e98eed112a44bc291
66bd6c0b2d4c4a5e98eed112a44bc291,host plant of,9a40b6a68b2a40ee8aecc0c9eca9772d
9a40b6a68b2a40ee8aecc0c9eca9772d,herbivore of,66bd6c0b2d4c4a5e98eed112a44bc291
66bd6c0b2d4c4a5e98eed112a44bc291,host plant of,ff627ef1896641b8af4bfc04573754e3
