ID,island,new_island_record
17c201c8da1847929a10109237aab0f4,Yap State,
17c201c8da1847929a10109237aab0f4,Saipan,
17c201c8da1847929a10109237aab0f4,Tinian,
17c201c8da1847929a10109237aab0f4,Rota,
17c201c8da1847929a10109237aab0f4,Guam,
311cf11008e54e33a9259ed045b47b23,Saipan,
311cf11008e54e33a9259ed045b47b23,Tinian,
311cf11008e54e33a9259ed045b47b23,Rota,
311cf11008e54e33a9259ed045b47b23,Guam,
1e02c9c91085410092b1dcfa20c2be82,Republic of Palau,
1e02c9c91085410092b1dcfa20c2be82,Yap State,
1e02c9c91085410092b1dcfa20c2be82,Chuuk State,
1e02c9c91085410092b1dcfa20c2be82,Pohnpei State,
1e02c9c91085410092b1dcfa20c2be82,Saipan,
1e02c9c91085410092b1dcfa20c2be82,Tinian,
1e02c9c91085410092b1dcfa20c2be82,Rota,
1e02c9c91085410092b1dcfa20c2be82,Guam,
e624b614b2aa46b391d01f58505b1b75,Saipan,
e624b614b2aa46b391d01f58505b1b75,Tinian,
e624b614b2aa46b391d01f58505b1b75,Rota,
e624b614b2aa46b391d01f58505b1b75,Guam,
370f7791cf5c41429c230bd905792365,Republic of Palau,
370f7791cf5c41429c230bd905792365,Yap State,
370f7791cf5c41429c230bd905792365,Pohnpei State,
9b5f09b6cdc54dc49900743d95a168cf,Saipan,
9b5f09b6cdc54dc49900743d95a168cf,Tinian,
9b5f09b6cdc54dc49900743d95a168cf,Rota,
9b5f09b6cdc54dc49900743d95a168cf,Guam,
f505d36396524c81af039fae6e19cd45,Republic of Palau,
f505d36396524c81af039fae6e19cd45,Yap State,
f505d36396524c81af039fae6e19cd45,Chuuk State,
f505d36396524c81af039fae6e19cd45,Pohnpei State,
f505d36396524c81af039fae6e19cd45,Kosrae State,
f505d36396524c81af039fae6e19cd45,Saipan,
f505d36396524c81af039fae6e19cd45,Tinian,
f505d36396524c81af039fae6e19cd45,Rota,
f505d36396524c81af039fae6e19cd45,Guam,
880a117f68f041b59dd7fd19c3b3cb63,Republic of Palau,
880a117f68f041b59dd7fd19c3b3cb63,Pohnpei State,
880a117f68f041b59dd7fd19c3b3cb63,Saipan,
880a117f68f041b59dd7fd19c3b3cb63,Tinian,
880a117f68f041b59dd7fd19c3b3cb63,Rota,
880a117f68f041b59dd7fd19c3b3cb63,Guam,
45781c22862548c1821c8faa424feb75,Republic of Palau,
45781c22862548c1821c8faa424feb75,Saipan,
45781c22862548c1821c8faa424feb75,Tinian,
45781c22862548c1821c8faa424feb75,Rota,
45781c22862548c1821c8faa424feb75,Guam,
997add7a3c7f40709c55d2853fd9e652,Republic of Palau,
997add7a3c7f40709c55d2853fd9e652,Yap State,new island record
997add7a3c7f40709c55d2853fd9e652,Chuuk State,
997add7a3c7f40709c55d2853fd9e652,Pohnpei State,
997add7a3c7f40709c55d2853fd9e652,Kosrae State,
3f20c7b3d313457fa838eeb1e0213ae4,Republic of Palau,
3f20c7b3d313457fa838eeb1e0213ae4,Yap State,
3f20c7b3d313457fa838eeb1e0213ae4,Chuuk State,
3f20c7b3d313457fa838eeb1e0213ae4,Pohnpei State,
3f20c7b3d313457fa838eeb1e0213ae4,Kosrae State,
3f20c7b3d313457fa838eeb1e0213ae4,Saipan,
3f20c7b3d313457fa838eeb1e0213ae4,Tinian,
3f20c7b3d313457fa838eeb1e0213ae4,Rota,
3f20c7b3d313457fa838eeb1e0213ae4,Guam,
