ID,scientificName,taxonRank,kingdom
876f6d22b15d4396be2b760bf415c955,Agave sisalana,species,Plantae
17c201c8da1847929a10109237aab0f4,Aonidiella orientalis,species,Animalia
311cf11008e54e33a9259ed045b47b23,Dysmicoccus neobrevipes,species,Animalia
66bd6c0b2d4c4a5e98eed112a44bc291,Persea americana,species,Plantae
1e02c9c91085410092b1dcfa20c2be82,Trigonops,genus,Animalia
e624b614b2aa46b391d01f58505b1b75,Phytorus lineolatus,species,Animalia
370f7791cf5c41429c230bd905792365,Xyleborus fornicatus,species,Animalia
9b5f09b6cdc54dc49900743d95a168cf,Dacus cucurbitae,species,Animalia
f505d36396524c81af039fae6e19cd45,Hemiberlesia palmae,species,Animalia
880a117f68f041b59dd7fd19c3b3cb63,Ceroplastes floridensis,species,Animalia
45781c22862548c1821c8faa424feb75,Coccus longulus,species,Animalia
997add7a3c7f40709c55d2853fd9e652,Eucalymnatus tessellatus,species,Animalia
3f20c7b3d313457fa838eeb1e0213ae4,Hemiberlesia lataniae,species,Animalia
9a40b6a68b2a40ee8aecc0c9eca9772d,Aspidiotus destructor,species,Animalia
ff627ef1896641b8af4bfc04573754e3,Pseudococcus longispinus,species,Animalia
b543bab33cf044adaaa147db5ae02e07,Icerya seychellarum,species,Animalia
29bd01f83d884508b1e6b3059d3d76cd,Aspidiotus spinosus,species,Animalia
d28ff028222641509fb0d5b02663d153,Icerya aegyptiaca,species,Animalia
e7efe2f4a12c478299bfd8e9a81778fc,Selenothrips rubrocinctus,species,Animalia
286d722383dd435083ab8b7008b4a102,Bambusa,genus,Plantae
ae9347c648da4db48a86e8253d1e5c7f,Anomala sulcatula,species,Animalia
753549d6c4024957add8a49e4ae3b798,Chlorophorus annularis,species,Animalia
57aceabc91124f08a472d45a1fd0022f,Pseudoloxops bifasciatus,species,Animalia
397b8c0a648e4132b1379b6d070c4f9c,Asterolecanium robustum,species,Animalia
44b2f9d579214517b1d549685b78b466,Asterolecanium bambusae,species,Animalia
653cb1039d1c4cbeb61be2369de78be1,Asterolecanium pseudomiliaris,species,Animalia
570f1904360c4b61b8415b95d619d08c,Asterolecanium pseudolanceolatum,species,Animalia
3c934a1fd63f40d4969ce7e02a988b83,Asterolecanium coronatum,species,Animalia
268b368765e94eb18960ff7931e7e8df,Asterolecanium miliaris,species,Animalia
720a70103ac74d9b97452c8f862eebc0,Musa,genus,Plantae
c271204e1d4542f9acbfff5fd560ab64,Adoretus sinicus,species,Animalia
93b3b730ce8d44d592281add2e5ca264,Cosmopolites sordidus,species,Animalia
b9f55c9a77304db3a237805d7fe8129f,Polytus mellerborgi,species,Animalia
6f6a31d9fd3b43b697b14b7c37b2a8f8,Leptoglossus australis,species,Animalia
7d3b3ec8605a47ab8417a79e09a3135d,Planococcus citri,species,Animalia
ee7c1796b0e04fda9e515662399e790d,Aspidiotus excisus,species,Animalia
9dcf368026a240ffaa94091f27585df6,Ferrisia virgata,species,Animalia
6e1477938a214c5593440e40e6e2318a,Proutista moesta,species,Animalia
d69744f411f542669cf28715cd9fe7f8,Lamenia caliginea,species,Animalia
c2e1f058aa364ee5a8feb2b7d6ac9f18,Ischnaspis longirostris,species,Animalia
b9e8566c3d0f47a79c4d81e8626f5543,Pseudococcus microadonidum,species,Animalia
becaf5d445a942ccb83edc1411b59dd5,Pseudococcus orchidicola,species,Animalia
