ID,vernacular
876f6d22b15d4396be2b760bf415c955,Agave
17c201c8da1847929a10109237aab0f4,oriental scale
311cf11008e54e33a9259ed045b47b23,grey pineapple mealybug
66bd6c0b2d4c4a5e98eed112a44bc291,Avocado
1e02c9c91085410092b1dcfa20c2be82,weevil
e624b614b2aa46b391d01f58505b1b75,phytorus leaf beetle
370f7791cf5c41429c230bd905792365,tea shot-hole borer
9b5f09b6cdc54dc49900743d95a168cf,melon fly
f505d36396524c81af039fae6e19cd45,palm scale
880a117f68f041b59dd7fd19c3b3cb63,florida wax scale
45781c22862548c1821c8faa424feb75,long brown scale
997add7a3c7f40709c55d2853fd9e652,tessellated scale
3f20c7b3d313457fa838eeb1e0213ae4,latania scale
9a40b6a68b2a40ee8aecc0c9eca9772d,coconut scale
ff627ef1896641b8af4bfc04573754e3,long-tailed mealybug
b543bab33cf044adaaa147db5ae02e07,seychelles scale
29bd01f83d884508b1e6b3059d3d76cd,scale
d28ff028222641509fb0d5b02663d153,egyptian fluted scale
e7efe2f4a12c478299bfd8e9a81778fc,redbanded thrips
286d722383dd435083ab8b7008b4a102,Bamboo
ae9347c648da4db48a86e8253d1e5c7f,chafer beetle
753549d6c4024957add8a49e4ae3b798,bamboo longhorn
57aceabc91124f08a472d45a1fd0022f,mirid
397b8c0a648e4132b1379b6d070c4f9c,bamboo scale
44b2f9d579214517b1d549685b78b466,bamboo scale
653cb1039d1c4cbeb61be2369de78be1,bamboo scale
570f1904360c4b61b8415b95d619d08c,bamboo scale
3c934a1fd63f40d4969ce7e02a988b83,bamboo scale
268b368765e94eb18960ff7931e7e8df,bamboo scale
720a70103ac74d9b97452c8f862eebc0,Banana
c271204e1d4542f9acbfff5fd560ab64,chinese rose beetle
93b3b730ce8d44d592281add2e5ca264,banana root borer
b9f55c9a77304db3a237805d7fe8129f,banana corm weevil
6f6a31d9fd3b43b697b14b7c37b2a8f8,leaf-footed plant bug
7d3b3ec8605a47ab8417a79e09a3135d,citrus mealybug
ee7c1796b0e04fda9e515662399e790d,scale
9dcf368026a240ffaa94091f27585df6,striped mealybug
6e1477938a214c5593440e40e6e2318a,erect-winged blue plant hopper
d69744f411f542669cf28715cd9fe7f8,derbid planthopper
c2e1f058aa364ee5a8feb2b7d6ac9f18,black thread scale
b9e8566c3d0f47a79c4d81e8626f5543,mealybug
becaf5d445a942ccb83edc1411b59dd5,orchid mealybug
b9c86eb2ddf0491498ab9ca1a27fc7ae,boisduval scale
6cdebd40f62d4a1fbca64f7b70242f5e,hemispherical scale
fc58da841da64b73ae0131375cd7e346,dictyospermum scale
6582c42d3e4845f8a3fa535dc9af15c5,green scale
968834638ddf4a69ad0436aa18482ab2,brown soft scale
364ee199ca2148d8aeb8e955bb1959c4,steatococcus scale
57e2c69ddd534544afaae175b5462414,inornate scale
53622d38eec24ff5be8b937ed0c24ff8,california red scale
b555107fd7394b749f00719b99deff64,banana aphid
dd1cd70d7de64d18ac75c10c5556cd52,cotton or melon aphid
064cc43b42124fab9eec2aeb2ce20ef1,rice cutworm
ebc8da6062d04317a468b668aa05a333,banana leafroller
4571aa0d2be54390b331bfc87c2f6be8,fruit piercing moth
ce7569398335458cb6873bf17cce2638,large short-horn grasshopper
82330bde35074f599f3119454a1082f1,javanese grasshopper
21d299dcfa3b4c73aac286086edd24fc,Beans
ac89db12bd7b40eca9d190bfbc32b8be,broad mite
d5820a940b5f4f2e99d122ec913da75a,spider mite
11b4acbb79e049ccb4fa5d43ca52f456,leaf beetle
010f9071d7824ac4b56788fb7ab858fa,bean fly
219b8e67380a4eae8eabb6f82efacd3e,soybean fly
5276101f6acb4ca5beacb7dc73338322,vegetable leafminer
fc67ceb5c2de4815bf9b1dfcad5bbbbe,serpentine leafminer
3b6c32480ab94eb28375cf2c051175df,lygeid bug
89b36c438b9f4616b461c5f15d27d9ab,truk bean bug
69deda6d595d48f6b654716e6b06336a,black island stink bug
dd90de5b80054b42be14a0cbf883a5d7,southern green stink bug
aa8d183098cb41f295be17b78763a2b0,schield bug
9c04bebde35b42658388827c10f989f4,black garden fleahopper
51bedea8f649487bad3db9f7641b1b94,black stink bug
