accepted,acceptedKey,authorship,basionym,basionymKey,canonicalName,class,classKey,constituentKey,datasetKey,family,familyKey,genus,genusKey,issues,key,kingdom,kingdomKey,lastCrawled,lastInterpreted,modified,nameKey,nameType,nomenclaturalStatus,nubKey,numDescendants,order,orderKey,origin,parent,parentKey,phylum,phylumKey,rank,remarks,scientificName,sourceTaxonKey,species,speciesKey,synonym,taxonID,taxonomicStatus,verbatimScientificName
,,Perrine,,,Agave sisalana,Liliopsida,196,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Asparagaceae,7683.0,Agave,2766430.0,['ORTHOGRAPHIC_VARIANT'],2766636,Plantae,6,2016-07-25T16:54:25.896+0000,2016-07-25T16:40:27.948+0000,,327300,SCIENTIFIC,[],2766636.0,0,Asparagales,1169,SOURCE,Agave,2766430,Tracheophyta,7707728,SPECIES,Possible variant of Agave sisalana Perrine ex Engelm.,Agave sisalana Perrine,111572521,Agave sisalana,2766636.0,False,gbif:2766636,ACCEPTED,Agave sisalana
,," (Newstead, 1894)",,,Aonidiella orientalis,Insecta,216,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Diaspididae,4521.0,Aonidiella,2082961.0,['ORIGINAL_NAME_DERIVED'],2083015,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:31:55.402+0000,,788116,SCIENTIFIC,[],2083015.0,0,Hemiptera,809,SOURCE,Aonidiella,2082961,Arthropoda,54,SPECIES,,"Aonidiella orientalis (Newstead, 1894)",110091124,Aonidiella orientalis,2083015.0,False,gbif:2083015,ACCEPTED,Aonidiella orientalis
,,"Beardsley, 1959",,,Dysmicoccus neobrevipes,Insecta,216,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Pseudococcidae,4534.0,Dysmicoccus,2092782.0,[],2092833,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:31:37.791+0000,,3779818,SCIENTIFIC,[],2092833.0,0,Hemiptera,809,SOURCE,Dysmicoccus,2092782,Arthropoda,54,SPECIES,,"Dysmicoccus neobrevipes Beardsley, 1959",110104455,Dysmicoccus neobrevipes,2092833.0,False,gbif:2092833,ACCEPTED,Dysmicoccus neobrevipes
,,Mill.,,,Persea americana,Magnoliopsida,220,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Lauraceae,6688.0,Persea,3034041.0,[],3034046,Plantae,6,2016-07-25T16:54:25.896+0000,2016-07-25T16:32:27.697+0000,,8447578,SCIENTIFIC,[],3034046.0,4,Laurales,407,SOURCE,Persea,3034041,Tracheophyta,7707728,SPECIES,,Persea americana Mill.,120550095,Persea americana,3034046.0,False,gbif:3034046,ACCEPTED,Persea americana
,,"Guérin-Ménéville, 1841",,,Trigonops,Insecta,216,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Curculionidae,4239.0,Trigonops,1225109.0,[],1225109,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:33:16.159+0000,,11462073,SCIENTIFIC,[],1225109.0,36,Coleoptera,1470,SOURCE,Curculionidae,4239,Arthropoda,54,GENUS,,"Trigonops Guérin-Ménéville, 1841",121175148,,,False,gbif:1225109,ACCEPTED,Trigonops
,,"Jacoby, 1884",,,Phytorus,Insecta,216,0938172b-2086-439c-a1dd-c21cb0109ed5,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Chrysomelidae,7780.0,Phytorus,4718924.0,['NO_SPECIES'],4718924,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:42:15.678+0000,,8721156,SCIENTIFIC,[],4718924.0,0,Coleoptera,1470,SOURCE,Chrysomelidae,7780,Arthropoda,54,GENUS,,"Phytorus Jacoby, 1884",106751772,,,False,gbif:4718924,DOUBTFUL,Phytorus lineolatus
,,"Eichhoff, 1868c",,,Xyleborus fornicatus,Insecta,216,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Curculionidae,4239.0,Xyleborus,1232636.0,[],5020341,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:32:46.123+0000,2016-07-28T14:15:58.420+0000,11916363,SCIENTIFIC,[],5020341.0,0,Coleoptera,1470,SOURCE,Xyleborus,1232636,Arthropoda,54,SPECIES,,"Xyleborus fornicatus Eichhoff, 1868c",109649055,Xyleborus fornicatus,5020341.0,False,gbif:5020341,DOUBTFUL,Xyleborus fornicatus
"Bactrocera cucurbitae (Coquillett, 1899)",8070510.0,"Coquillett, 1899",,,Dacus cucurbitae,Insecta,216,9ca92552-f23a-41a8-a140-01abaa31c931,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Tephritidae,3520.0,Bactrocera,1626510.0,[],1627349,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:48:03.039+0000,,3281663,SCIENTIFIC,[],1627349.0,0,Diptera,811,SOURCE,Bactrocera,1626510,Arthropoda,54,SPECIES,,"Dacus cucurbitae Coquillett, 1899",101829381,Bactrocera cucurbitae,8070510.0,True,gbif:1627349,SYNONYM,Dacus cucurbitae
,," (Cockerell, 1893)",,,Hemiberlesia palmae,Insecta,216,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Diaspididae,4521.0,Hemiberlesia,2083865.0,['ORIGINAL_NAME_DERIVED'],2083914,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:31:39.676+0000,,5103911,SCIENTIFIC,[],2083914.0,0,Hemiptera,809,SOURCE,Hemiberlesia,2083865,Arthropoda,54,SPECIES,,"Hemiberlesia palmae (Cockerell, 1893)",110094773,Hemiberlesia palmae,2083914.0,False,gbif:2083914,ACCEPTED,Hemiberlesia palmae
,,"Comstock, 1881",,,Ceroplastes floridensis,Insecta,216,7ddf754f-d193-4cc9-b351-99906754a03b,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Coccidae,6963.0,Ceroplastes,2092293.0,[],2092472,Animalia,1,2016-07-25T16:54:25.896+0000,2016-07-25T15:30:59.307+0000,,2248024,SCIENTIFIC,[],2092472.0,0,Hemiptera,809,SOURCE,Ceroplastes,2092293,Arthropoda,54,SPECIES,,"Ceroplastes floridensis Comstock, 1881",110087578,Ceroplastes floridensis,2092472.0,False,gbif:2092472,ACCEPTED,Ceroplastes floridensis
