canonicalName,class,classKey,confidence,family,familyKey,genus,genusKey,kingdom,kingdomKey,matchType,note,order,orderKey,phylum,phylumKey,rank,scientificName,species,speciesKey,status,synonym,usageKey,verbatimScientificName
Agave sisalana,Liliopsida,196,99,Asparagaceae,7683.0,Agave,2766430.0,Plantae,6,EXACT,,Asparagales,1169,Tracheophyta,7707728,SPECIES,Agave sisalana Perrine,Agave sisalana,2766636.0,ACCEPTED,False,2766636,Agave sisalana
Aonidiella orientalis,Insecta,216,99,Diaspididae,4521.0,Aonidiella,2082961.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Aonidiella orientalis (Newstead, 1894)",Aonidiella orientalis,2083015.0,ACCEPTED,False,2083015,Aonidiella orientalis
Dysmicoccus neobrevipes,Insecta,216,100,Pseudococcidae,4534.0,Dysmicoccus,2092782.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Dysmicoccus neobrevipes Beardsley, 1959",Dysmicoccus neobrevipes,2092833.0,ACCEPTED,False,2092833,Dysmicoccus neobrevipes
Persea americana,Magnoliopsida,220,100,Lauraceae,6688.0,Persea,3034041.0,Plantae,6,EXACT,,Laurales,407,Tracheophyta,7707728,SPECIES,Persea americana Mill.,Persea americana,3034046.0,ACCEPTED,False,3034046,Persea americana
Trigonops,Insecta,216,97,Curculionidae,4239.0,Trigonops,1225109.0,Animalia,1,EXACT,,Coleoptera,1470,Arthropoda,54,GENUS,"Trigonops Guérin-Ménéville, 1841",,,ACCEPTED,False,1225109,Trigonops
Phytorus,Insecta,216,94,Chrysomelidae,7780.0,Phytorus,4718924.0,Animalia,1,HIGHERRANK,,Coleoptera,1470,Arthropoda,54,GENUS,"Phytorus Jacoby, 1884",,,DOUBTFUL,False,4718924,Phytorus lineolatus
Xyleborus fornicatus,Insecta,216,98,Curculionidae,4239.0,Xyleborus,1232636.0,Animalia,1,EXACT,,Coleoptera,1470,Arthropoda,54,SPECIES,"Xyleborus fornicatus Eichhoff, 1868c",Xyleborus fornicatus,5020341.0,DOUBTFUL,False,5020341,Xyleborus fornicatus
Dacus cucurbitae,Insecta,216,99,Tephritidae,3520.0,Bactrocera,1626510.0,Animalia,1,EXACT,,Diptera,811,Arthropoda,54,SPECIES,"Dacus cucurbitae Coquillett, 1899",Bactrocera cucurbitae,8070510.0,SYNONYM,True,1627349,Dacus cucurbitae
Hemiberlesia palmae,Insecta,216,99,Diaspididae,4521.0,Hemiberlesia,2083865.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Hemiberlesia palmae (Cockerell, 1893)",Hemiberlesia palmae,2083914.0,ACCEPTED,False,2083914,Hemiberlesia palmae
Ceroplastes floridensis,Insecta,216,99,Coccidae,6963.0,Ceroplastes,2092293.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Ceroplastes floridensis Comstock, 1881",Ceroplastes floridensis,2092472.0,ACCEPTED,False,2092472,Ceroplastes floridensis
Coccus longulus,Insecta,216,99,Coccidae,6963.0,Coccus,2049629.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Coccus longulus (Douglas, 1887)",Coccus longulus,8202676.0,ACCEPTED,False,8202676,Coccus longulus
Eucalymnatus tessellatus,Insecta,216,99,Coccidae,6963.0,Eucalymnatus,2091522.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Eucalymnatus tessellatus (Signoret, 1873)",Eucalymnatus tessellatus,2091537.0,ACCEPTED,False,2091537,Eucalymnatus tessellatus
Hemiberlesia lataniae,Insecta,216,99,Diaspididae,4521.0,Hemiberlesia,2083865.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Hemiberlesia lataniae (Signoret, 1869)",Hemiberlesia lataniae,2083970.0,ACCEPTED,False,2083970,Hemiberlesia lataniae
Aspidiotus destructor,Insecta,216,99,Diaspididae,4521.0,Aspidiotus,5161675.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Aspidiotus destructor Signoret, 1869",Aspidiotus destructor,5161683.0,ACCEPTED,False,5161683,Aspidiotus destructor
Pseudococcus longispinus,Insecta,216,99,Pseudococcidae,4534.0,Pseudococcus,2081087.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Pseudococcus longispinus (Targioni Tozzetti, 1867)",Pseudococcus longispinus,2095283.0,ACCEPTED,False,2095283,Pseudococcus longispinus
Icerya seychellarum,Insecta,216,100,Margarodidae,8651.0,Icerya,2080538.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Icerya seychellarum Maskell, 1897",Icerya seychellarum,4484675.0,ACCEPTED,False,4484675,Icerya seychellarum
Aspidiotus spinosus,Insecta,216,98,Diaspididae,4521.0,Oceanaspidiotus,2083618.0,Animalia,1,EXACT,2 synonym homonyms,Hemiptera,809,Arthropoda,54,SPECIES,"Aspidiotus spinosus Leonardi, 1898",Oceanaspidiotus spinosus,7688159.0,SYNONYM,True,5161521,Aspidiotus spinosus
Icerya aegyptiaca,Insecta,216,99,Margarodidae,8651.0,Icerya,2080538.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Icerya aegyptiaca (Douglas, 1890)",Icerya aegyptiaca,2080604.0,ACCEPTED,False,2080604,Icerya aegyptiaca
Selenothrips rubrocinctus,Insecta,216,100,Thripidae,4387.0,Selenothrips,1420800.0,Animalia,1,EXACT,,Thysanoptera,1228,Arthropoda,54,SPECIES,"Selenothrips rubrocinctus (Giard, 1901)",Selenothrips rubrocinctus,1420801.0,ACCEPTED,False,1420801,Selenothrips rubrocinctus
Bambusa,Liliopsida,196,97,Poaceae,3073.0,Bambusa,2705751.0,Plantae,6,EXACT,,Poales,1369,Tracheophyta,7707728,GENUS,Bambusa Schreb.,,,ACCEPTED,False,2705751,Bambusa
Anomala sulcatula,Insecta,216,100,Rutelidae,4425773.0,Anomala,1051129.0,Animalia,1,EXACT,,Coleoptera,1470,Arthropoda,54,SPECIES,"Anomala sulcatula Burmeister, 1844",Anomala sulcatula,5988462.0,ACCEPTED,False,5988462,Anomala sulcatula
Chlorophorus annularis,Insecta,216,100,Cerambycidae,5602.0,Chlorophorus,1111662.0,Animalia,1,EXACT,,Coleoptera,1470,Arthropoda,54,SPECIES,"Chlorophorus annularis (Fabricius, 1787)",Chlorophorus annularis,1111797.0,ACCEPTED,False,1111797,Chlorophorus annularis
Pseudoloxops bifasciatus,Insecta,216,100,Miridae,4319.0,Pseudoloxops,2009239.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Pseudoloxops bifasciatus (Usinger, 1946)",Pseudoloxops bifasciatus,7845604.0,ACCEPTED,False,7845604,Pseudoloxops bifasciatus
Asterolecanium robustum,Insecta,216,100,Asterolecaniidae,3265514.0,Asterolecanium,2089594.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Asterolecanium robustum Green, 1908",Asterolecanium robustum,4290164.0,ACCEPTED,False,4290164,Asterolecanium robustum
Asterolecanium bambusae,Insecta,216,100,Asterolecaniidae,3265514.0,Asterolecanium,2089594.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Asterolecanium bambusae (Boisduval, 1869)",Asterolecanium bambusae,4290165.0,ACCEPTED,False,4290165,Asterolecanium bambusae
Asterolecanium pseudomiliaris,Insecta,216,100,Asterolecaniidae,3265514.0,Asterolecanium,2089594.0,Animalia,1,EXACT,,Hemiptera,809,Arthropoda,54,SPECIES,"Asterolecanium pseudomiliaris Green, 1922",Asterolecanium pseudomiliaris,4290167.0,ACCEPTED,False,4290167,Asterolecanium pseudomiliaris
