acceptedScientificName,acceptedScientificNameID,class,data_source_title,family,genus,is_known_name,kingdom,order,phylum,scientificName,scientificNameID,species,supplied_name_string
Agave sisalana Perrine,2766636,Liliopsida,GBIF Backbone Taxonomy,Asparagaceae,Agave,True,Plantae,Asparagales,Tracheophyta,Agave sisalana Perrine,2766636,Agave sisalana,Agave sisalana
"Aonidiella orientalis (Newstead, 1894)",2083015,Insecta,GBIF Backbone Taxonomy,Diaspididae,Aonidiella,True,Animalia,Hemiptera,Arthropoda,"Aonidiella orientalis McKenzie, 1938",7920840,Aonidiella orientalis,Aonidiella orientalis
"Dysmicoccus neobrevipes Beardsley, 1959",2092833,Insecta,GBIF Backbone Taxonomy,Pseudococcidae,Dysmicoccus,True,Animalia,Hemiptera,Arthropoda,"Dysmicoccus neobrevipes Beardsley, 1959",2092833,Dysmicoccus neobrevipes,Dysmicoccus neobrevipes
Persea americana Mill.,3034046,Magnoliopsida,GBIF Backbone Taxonomy,Lauraceae,Persea,True,Plantae,Laurales,Tracheophyta,Persea americana Mill.,3034046,Persea americana,Persea americana
"Trigonops Guérin-Ménéville, 1841",1225109,Insecta,GBIF Backbone Taxonomy,Curculionidae,Trigonops,True,Animalia,Coleoptera,Arthropoda,"Trigonops Guérin-Ménéville, 1841",1225109,,Trigonops
Phytorus lineolatus,96122526,,uBio NameBank,,,True,,,,Phytorus lineolatus,96122526,,Phytorus lineolatus
"Xyleborus fornicatus Eichhoff, 1868c",5020341,Insecta,GBIF Backbone Taxonomy,Curculionidae,Xyleborus,True,Animalia,Coleoptera,Arthropoda,"Xyleborus fornicatus Eichhoff, 1868c",5020341,Xyleborus fornicatus,Xyleborus fornicatus
"Bactrocera cucurbitae (Coquillett, 1899)",8070510,Insecta,GBIF Backbone Taxonomy,Tephritidae,Bactrocera,True,Animalia,Diptera,Arthropoda,"Dacus cucurbitae Coquillett, 1899",1627349,Bactrocera cucurbitae,Dacus cucurbitae
"Hemiberlesia palmae (Cockerell, 1893)",2083914,Insecta,GBIF Backbone Taxonomy,Diaspididae,Hemiberlesia,True,Animalia,Hemiptera,Arthropoda,"Hemiberlesia palmae Ferris, 1938",8339040,Hemiberlesia palmae,Hemiberlesia palmae
"Ceroplastes floridensis Comstock, 1881",2092472,Insecta,GBIF Backbone Taxonomy,Coccidae,Ceroplastes,True,Animalia,Hemiptera,Arthropoda,"Ceroplastes floridensis Comstock, 1881",2092472,Ceroplastes floridensis,Ceroplastes floridensis
