canonical_form,classification_path,classification_path_ids,classification_path_ranks,current_name_string,current_taxon_id,data_source_id,data_source_title,data_sources_number,edit_distance,global_id,gni_uuid,imported_at,in_curated_sources,is_known_name,local_id,match_type,match_value,name_string,prescore,score,supplied_name_string,taxon_id,url
Agave sisalana,Plantae|Tracheophyta|Liliopsida|Asparagales|Asparagaceae|Agave|Agave sisalana,6|7707728|196|1169|7683|2766430|2766636,kingdom|phylum|class|order|family|genus|species,,,11,GBIF Backbone Taxonomy,24,0,,b2a8b282-f846-557e-8f96-aaa26d068cb5,2016-11-13T19:37:29Z,True,True,,2,Exact match by canonical form,Agave sisalana Perrine,3|0|0,0.988,Agave sisalana,2766636,
Aonidiella orientalis,Animalia|Arthropoda|Insecta|Hemiptera|Diaspididae|Aonidiella|Aonidiella orientalis,1|54|216|809|4521|2082961|2083015,kingdom|phylum|class|order|family|genus|species,"Aonidiella orientalis (Newstead, 1894)",2083015,11,GBIF Backbone Taxonomy,24,0,,acc0d237-2afd-5185-a658-b3b0147feadd,2016-11-13T19:29:32Z,True,True,,2,Exact match by canonical form,"Aonidiella orientalis McKenzie, 1938",3|0|0,0.988,Agave sisalana,7920840,
Dysmicoccus neobrevipes,Animalia|Arthropoda|Insecta|Hemiptera|Pseudococcidae|Dysmicoccus|Dysmicoccus neobrevipes,1|54|216|809|4534|2092782|2092833,kingdom|phylum|class|order|family|genus|species,,,11,GBIF Backbone Taxonomy,24,0,,0519375e-9921-5dcf-952f-4d691513393e,2016-11-13T20:14:08Z,True,True,,2,Exact match by canonical form,"Dysmicoccus neobrevipes Beardsley, 1959",3|0|0,0.988,Agave sisalana,2092833,
Persea americana,Plantae|Tracheophyta|Magnoliopsida|Laurales|Lauraceae|Persea|Persea americana,6|7707728|220|407|6688|3034041|3034046,kingdom|phylum|class|order|family|genus|species,,,11,GBIF Backbone Taxonomy,24,0,,e9a1bdf0-5723-5e79-af71-d0624abe84bf,2016-11-13T20:45:44Z,True,True,,2,Exact match by canonical form,Persea americana Mill.,3|0|0,0.988,Agave sisalana,3034046,
Trigonops,Animalia|Arthropoda|Insecta|Coleoptera|Curculionidae|Trigonops,1|54|216|1470|4239|1225109,kingdom|phylum|class|order|family|genus,,,11,GBIF Backbone Taxonomy,24,0,,649f72d6-ea2c-5ac3-a7be-7666b8910b43,2016-11-13T19:58:08Z,True,True,,2,Exact match by canonical form,"Trigonops Guérin-Ménéville, 1841",1|0|0,0.75,Agave sisalana,1225109,
Phytorus lineolatus,|Phytorus lineolatus,,kingdom|,,,169,uBio NameBank,24,0,urn:lsid:ubio.org:namebank:2913889,f98afd5b-0b21-59dd-bd18-6d0ba781e743,2013-05-31T15:16:31Z,True,True,urn:lsid:ubio.org:namebank:2913889,1,Exact string match,Phytorus lineolatus,3|0|0,0.988,Agave sisalana,96122526,http://www.ubio.org/browser/details.php?namebankID=2913889
Xyleborus fornicatus,Animalia|Arthropoda|Insecta|Coleoptera|Curculionidae|Xyleborus|Xyleborus fornicatus,1|54|216|1470|4239|1232636|5020341,kingdom|phylum|class|order|family|genus|species,,,11,GBIF Backbone Taxonomy,24,0,,59286ef0-a404-538e-a791-0e1be4b8f19e,2016-11-13T19:50:05Z,True,True,,2,Exact match by canonical form,"Xyleborus fornicatus Eichhoff, 1868c",3|0|0,0.988,Agave sisalana,5020341,
Dacus cucurbitae,Animalia|Arthropoda|Insecta|Diptera|Tephritidae|Bactrocera|Bactrocera cucurbitae,1|54|216|811|3520|1626510|8070510,kingdom|phylum|class|order|family|genus|species,"Bactrocera cucurbitae (Coquillett, 1899)",8070510,11,GBIF Backbone Taxonomy,24,0,,3a654723-6b50-561c-851f-074cdbbdac2d,2016-11-13T21:07:23Z,True,True,,2,Exact match by canonical form,"Dacus cucurbitae Coquillett, 1899",3|0|0,0.988,Agave sisalana,1627349,
Hemiberlesia palmae,Animalia|Arthropoda|Insecta|Hemiptera|Diaspididae|Hemiberlesia|Hemiberlesia palmae,1|54|216|809|4521|2083865|2083914,kingdom|phylum|class|order|family|genus|species,"Hemiberlesia palmae (Cockerell, 1893)",2083914,11,GBIF Backbone Taxonomy,24,0,,95bdf0d0-6829-590b-b759-ba72c20f0a33,2016-11-13T22:02:07Z,True,True,,2,Exact match by canonical form,"Hemiberlesia palmae Ferris, 1938",3|0|0,0.988,Agave sisalana,8339040,
Ceroplastes floridensis,Animalia|Arthropoda|Insecta|Hemiptera|Coccidae|Ceroplastes|Ceroplastes floridensis,1|54|216|809|6963|2092293|2092472,kingdom|phylum|class|order|family|genus|species,,,11,GBIF Backbone Taxonomy,24,0,,6480740e-7c2b-5e7c-9c1e-1c213d8e1e21,2016-11-13T19:16:57Z,True,True,,2,Exact match by canonical form,"Ceroplastes floridensis Comstock, 1881",3|0|0,0.988,Agave sisalana,2092472,
Coccus longulus,Animalia|Arthropoda|Insecta|Hemiptera|Coccidae|Coccus|Coccus longulus,1|54|216|809|6963|2049629|8202676,kingdom|phylum|class|order|family|genus|species,"Coccus longulus (Douglas, 1887)",8202676,11,GBIF Backbone Taxonomy,24,0,,4d1df7e1-10ce-5824-a7e5-0feadf19ab64,2016-11-13T21:24:50Z,True,True,,2,Exact match by canonical form,"Coccus longulus Ben-Dov, 1977",3|0|0,0.988,Agave sisalana,8127963,
Eucalymnatus tessellatus,Animalia|Arthropoda|Insecta|Hemiptera|Coccidae|Eucalymnatus|Eucalymnatus tessellatus,1|54|216|809|6963|2091522|2091537,kingdom|phylum|class|order|family|genus|species,,,11,GBIF Backbone Taxonomy,24,0,,7dcc5758-c5a1-5f66-9712-176d303ba148,2016-11-13T21:27:08Z,True,True,,2,Exact match by canonical form,"Eucalymnatus tessellatus (Signoret, 1873)",3|0|0,0.988,Agave sisalana,2091537,
